Probe Name,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Annotation,PBMC mock1,PBMC mock2,PBMC mock3,2330L 6h1,2330L 6h2,2330L 6h3,2330H 6h1,2330H 6h2,2330H 6h3,2383L 6h1,2383L 6h2,2383L 6h3,2383H 6h1,2383H 6h2,2383H 6h3,2330L 24h1,2330L 24h2,2330L 24h3,2330H 24h1,2330H 24h2,2330H 24h3,2383L 24h1,2383L 24h2,2383L 24h3,2383H 24h1,2383H 24h2,2383H 24h3
PPAR-g,NM_005037.5,PPAR-g,Endogenous,mRNA,69.23,,20,26.57,238.9,20,191.71,20,34.88,149.32,210.3,266.49,195.02,24.98,213.31,25.99,20,20,20,216.15,20,24.03,168.4,20,26.25,20,20,20,21.97
PRKN,NM_004562.2,PRKN,Endogenous,mRNA,11.54,,20,20,20,20,20,20,20,20,20,20,64.65,20,20,20,20,20,20,20,20,20,20,32.78,20,20,20,20,20
PROC,NM_000312.3,PROC,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PSMD4,NM_002810.2,PSMD4,Endogenous,mRNA,100,,792.7,810.53,883.05,939.75,944.31,905.3,731.83,790.84,930.66,924.5,843.41,723.59,824.69,588.61,802.79,902.12,834.71,861.8,848.77,839.85,962.91,706.95,620.96,899.15,750.83,748.65,775.82
PTGIS,NM_000961.3,PTGIS,Endogenous,mRNA,46.15,,116.57,20,20,20,20,20,20,20,20,20,20,20,20,20,20,79.6,20,20,20,20,20,20,20,20,20,67.01,20
Pink1,NM_032409.2,Pink1,Endogenous,mRNA,98.08,,343.89,296.08,256.62,376.81,379.36,289.97,273.46,226.74,287.95,269.02,246.56,238.63,297.55,183.6,253.1,257.75,279.89,271.45,328.42,299.82,255.18,265.18,225.16,255.22,235.2,346.49,20
RANK,NM_003839.3,RANK,Endogenous,mRNA,23.08,,20,20,20,20,71.3,20,20,20,20,20,20,20,82.67,20,102.82,20,63.82,82.33,20,20,20,44.43,20,20,20,82.68,20
RDH10,NM_172037.2,RDH10,Endogenous,mRNA,59.62,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,87,20,73.35,20,85.3,20,20,58.27,20,53.96,20,90.9,20
RELA,NM_021975.3,RELA,Endogenous,mRNA,98.08,,238.98,233.22,189.11,226.99,182.22,134.6,108.56,254.4,94.89,162.89,144.53,132.43,170.43,107.23,213.55,208.47,139.56,116.47,281.5,94.75,153.52,153.96,75.41,165.45,149.26,133.04,20
RELB,NM_006509.3,RELB,Endogenous,mRNA,100,,367.21,475.61,461.78,431.29,467.42,347.9,633.37,431.37,315.7,347.48,432.05,556.72,348.88,475.14,458.74,360.09,322.12,314.51,477.7,571.11,287.88,327.67,467.24,213.46,307.57,301.15,337.22
RTEL1,NM_001283009.1,RTEL1,Endogenous,mRNA,9.62,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
SCARB1,NM_005505.3,SCARB1,Endogenous,mRNA,76.92,,419.66,168.83,179.43,226.99,132.62,180.79,195.06,210.15,167.01,145.73,154.71,166.3,112.18,165.85,225.41,261.54,91.33,151.05,123.69,102.99,71.13,59.6,106.76,83.63,94.98,76.06,20
SCARF1,NM_003693.3,SCARF1,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
SCD1 (SCD),NM_005063.4,SCD1 (SCD),Endogenous,mRNA,100,,1608.71,758.11,954.95,1030.55,901.06,758.58,601.67,1316.22,709.69,650.52,725.06,474.21,689.15,479.01,1047.97,1243.26,862.71,742.66,870.1,285.33,533.06,373.2,265.63,353.66,497.54,410.73,186.53
SCF,NM_003994.5,SCF,Endogenous,mRNA,61.54,,285.6,20,156.98,20,20,20,20,20,20,20,20,20,20,20,20,20,123.27,20,20,174.51,113.73,67.57,20,20,20,106.47,20
SERPINE1,NM_000602.4,SERPINE1,Endogenous,mRNA,50,,20,20,20,20,20,20,20,20,20,20,56.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
SIRT1,NM_012238.4,SIRT1,Endogenous,mRNA,100,,798.53,842.21,702.18,830.79,671.36,755.37,1028.07,967.81,791.41,885.66,732.01,990.65,736.04,847.06,866.06,693.65,610,741.5,827.45,930.02,875.01,749.61,858.23,735.36,836.77,668.42,911.86
SMPD1,NM_000543.4,SMPD1,Endogenous,mRNA,84.62,,128.23,20,20,158.9,20,83.55,157.57,171.44,67.48,76.67,20,20,89.96,20,106.77,151.62,95.9,55.49,140.75,127.69,77.2,83.81,149.4,76.55,104.03,20,20
SOD1,NM_000454.4,SOD1,Endogenous,mRNA,100,,1515.45,1857.57,1252.8,1657.05,1425.87,1700.53,1528.85,1813.95,2005.66,1869.97,1542.12,1526.9,1467.37,1398.73,1451.35,1811.82,1526.61,1851.95,2162.45,1410.07,2072.96,1426.3,1367.48,1888.3,1863.51,1696.96,1543.12
SOD2,NM_000636.2,SOD2,Endogenous,mRNA,100,,7868.7,5857.05,6589.11,10114.8,9741.58,8464.41,10257.04,10773.08,7997.8,5330.53,7061.8,7046.44,6448.1,6095.59,6513.26,8206.24,8578.02,5969.14,6022.44,4968.71,3991.67,5379.59,4464.91,3526.13,3319.94,3418.46,3075.82
SOD3,NM_003102.2,SOD3,Endogenous,mRNA,3.85,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
SRD5A1,NM_001047.3,SRD5A1,Endogenous,mRNA,100,,244.8,304.8,220.81,263.31,258.27,337.85,284.34,326.29,313.36,281.17,220.31,239.19,254.95,318.52,237.28,299.44,289,226.74,302.83,337.96,262.89,224.22,291.01,243.66,375.42,285.26,290.04
SRD5A2,NM_000348.3,SRD5A2,Endogenous,mRNA,11.54,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,85.3,20,20,20,20,20,20,20,20
SREBP-1c (SREBF1),NM_001005291.1,SREBP-1c (SREBF1),Endogenous,mRNA,100,,425.49,295.61,464.74,263.31,381.85,325.35,240.39,248.86,342.77,317.54,348.31,284.36,293.32,164.33,284.73,318.39,359.81,355.12,260.18,261.77,209.13,258.29,257.78,297.52,194.49,277.47,253.55
SYK,NM_003177.5,SYK,Endogenous,mRNA,59.62,,1078.3,776,888.1,930.67,875.44,923.88,1039.22,973.34,814.08,774.28,823.92,1091,823.5,930.28,901.65,1330.44,1018.6,869.48,818.92,748.6,599.39,778.77,785.12,620.16,673.94,626.13,669.41
TERC,NR_001566.1,TERC,Endogenous,mRNA,100,,880.13,755.5,727.21,917.05,792.27,597.77,612.36,1111.6,540.23,592.06,858.2,675.77,740.16,651.14,1000.52,833.89,675.46,451.98,853.04,512.98,525.72,746.14,739.39,539.25,832.25,914.85,520.19
TERT,NM_198253.1,TERT,Endogenous,mRNA,5.77,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TGFB,NM_000660.3,TGFB,Endogenous,mRNA,100,,1165.73,1371.07,1662.53,1679.75,1789.98,1239.65,1804.53,2212.13,1821.78,1006.94,1556.04,1003.94,1241.84,1039.82,1020.29,1076.48,1294.99,977.83,1019.38,1062.09,1026.2,1436.75,1070.53,965.97,1225.76,1415.74,1058.07
TIMP1,NM_003254.2,TIMP1,Endogenous,mRNA,100,,938.42,492.62,798.05,758.16,763.45,615.81,660.07,890.38,658.31,603.74,794.95,745.81,690.19,589.87,858.15,735.34,607.15,555.56,639.78,458.5,346.61,454.42,514.2,442.3,488.49,369.96,352.54
TNF-a,NM_000594.2,TNF-a,Endogenous,mRNA,55.77,,174.86,20,149.46,204.29,184.56,171.04,131.15,221.21,174.27,135.83,151.29,121.98,123.66,20,122.59,193.31,204.12,110.76,230.32,173.92,233.12,139.87,118.44,127.75,162.83,187.31,20
TNFSF14,NM_172014.2,TNFSF14,Endogenous,mRNA,55.77,,227.32,175.59,182.88,208.83,206.43,154.41,204.19,298.64,234.03,172.66,193.2,215.64,148.58,194.21,225.41,280.49,306.23,142.76,354.01,186.83,178.07,216.53,20,129.91,289.48,205.21,20
TPH1,NM_004179.1,TPH1,Endogenous,mRNA,9.62,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TYR,NM_000372.4,TYR,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TYRP1,NM_000550.2,TYRP1,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Tgm1,NM_000359.2,Tgm1,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
UNG,NM_003362.3,UNG,Endogenous,mRNA,98.08,,139.89,20,214.23,163.43,286.44,178.91,142.01,121.67,182.28,189.44,234.43,283.97,254.53,294.7,134.46,140.25,289.43,182.69,127.96,177.86,177.71,253.41,192.36,203.11,226.15,263.65,209.15
Ubl-5,NM_024292.3,Ubl-5,Endogenous,mRNA,100,,2214.89,1436.8,2316.09,2174.59,2662.64,2248.85,1620.74,2322.74,2293.34,2321.53,2581.71,1582.03,2252.73,1561.74,2115.72,2550.95,2436.15,2265.45,2273.34,1438.32,2079.07,2141.39,1276.46,1794.5,1899.7,1918.75,1377.43
VCAM1,NM_001199834.1,VCAM1,Endogenous,mRNA,40.38,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
VEGFA,NM_001025366.1,VEGFA,Endogenous,mRNA,80.77,,128.23,20,20,145.28,77.26,20,219.37,171.44,20,157.11,93.73,168.32,98.85,177.35,261,170.57,129.1,154.85,20,20,20,64.19,20,20,131.17,75.09,20
VWF,NM_000552.3,VWF,Endogenous,mRNA,13.46,,20,20,20,95.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
XPA,NM_000380.3,XPA,Endogenous,mRNA,100,,722.76,489.83,587.19,526.62,632.74,622.8,734.4,613.87,823.18,797.64,728.58,821.39,696.64,887.93,707.88,739.13,587.48,679.54,806.12,892.73,635.77,654.88,893.64,723.01,868.43,612.7,773.02
XRCC1,NM_006297.2,XRCC1,Endogenous,mRNA,96.15,,145.72,158.38,116.94,158.9,124.28,238.53,171.55,188.03,217.69,191.23,194.46,111.69,115.96,153.27,205.64,174.36,82.41,156.16,149.28,20,144.84,120.11,136.14,97.73,135.69,148.71,20
XRCC5,NM_021141.3,XRCC5,Endogenous,mRNA,100,,5222.49,4056.55,4061.79,4785.01,4270,5656.16,4252.77,4877.75,5284.88,5156.72,4160.33,4561.05,4053.23,3838.05,4650.63,4590.19,4051.33,5061.78,4619.19,3867.42,5279.51,3887.1,3835.01,4508.12,5197.02,4217.16,4330.6
apoA-I (APA1),NM_000039.1,apoA-I (APA1),Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ACTB,NM_001101.2,ACTB,Housekeeping,mRNA,100,,14758.19,14880.38,12044.28,12275.78,10830.65,9838.08,8571.2,10098.38,8627.23,9820.15,10450.4,8691.89,8876.44,7944.32,9720.46,12591.75,10386.57,10183.14,10249.23,8167.85,8322.44,9441.27,8870.29,7929.37,7327.4,6859.34,6564.4
GAPDH,NM_002046.3,GAPDH,Housekeeping,mRNA,100,,5455.63,5307.89,6036.1,5102.8,6025.07,6743.12,7608.39,5950.63,7264.62,6371.95,6121.68,7188.6,6099.53,6652.25,5311.05,5579.49,6851.1,6747.48,6743.25,8017.25,7986,6783.29,7114.06,6688.3,6553.95,7230.69,7834.8
RPLP0,NM_001002.3,RPLP0,Housekeeping,mRNA,100,,16961.43,20763.87,23505.19,17678.21,22950.66,17954.39,18523.59,17597.5,18264.68,19029.46,25398.73,19133.16,24080.8,17537.22,17435.92,14945.6,20417.26,15727.37,16476.4,15494.19,17134.46,24893.54,17000.25,18100.25,20453.39,26613.18,18541.88
TBP,NM_001172085.1,TBP,Housekeeping,mRNA,100,,419.66,349.46,335.38,517.54,382.68,481.17,474.44,541.97,500.66,481.31,352.72,479.4,439.58,618.38,636.69,545.82,394.47,530.35,503.29,564.86,503.26,359.49,534.23,597.04,583.48,434.19,600.99
NEG_A,ERCC_00096.1,NEG_A(0),Negative,SYSTEM,0,,13,13,13,14,14,13,14,14,14,14,14,14,12,12,12,11,11,12,12,11,11,12,12,12,16,16,16
NEG_B,ERCC_00041.1,NEG_B(0),Negative,SYSTEM,0,,12,12,12,13,13,12,13,6,13,6,6,6,8,8,8,7,7,8,9,7,7,9,9,9,4,4,4
NEG_C,ERCC_00019.1,NEG_C(0),Negative,SYSTEM,0,,18,18,18,20,20,18,20,19,20,19,19,19,11,11,11,15,15,11,11,15,15,11,11,11,14,14,14
NEG_D,ERCC_00076.1,NEG_D(0),Negative,SYSTEM,0,,15,15,15,13,13,15,13,9,13,9,9,9,4,4,4,6,6,4,17,6,6,17,17,17,14,14,14
NEG_E,ERCC_00098.1,NEG_E(0),Negative,SYSTEM,0,,23,23,23,21,21,23,21,17,21,17,17,17,13,13,13,14,14,13,12,14,14,12,12,12,5,5,5
NEG_F,ERCC_00126.1,NEG_F(0),Negative,SYSTEM,0,,30,30,30,20,20,30,20,13,20,13,13,13,20,20,20,16,16,20,18,16,16,18,18,18,10,10,10
NEG_G,ERCC_00144.1,NEG_G(0),Negative,SYSTEM,0,,6,6,6,2,2,6,2,2,2,2,2,2,5,5,5,5,5,5,3,5,5,3,3,3,4,4,4
NEG_H,ERCC_00154.1,NEG_H(0),Negative,SYSTEM,0,,11,11,11,6,6,11,6,6,6,6,6,6,7,7,7,6,6,7,6,6,6,6,6,6,4,4,4
POS_A,ERCC_00117.1,POS_A(128),Positive,SYSTEM,0,,42098,42098,42098,34522,34522,42098,34522,23641,34522,23641,23641,23641,23152,23152,23152,22662,22662,23152,21892,22662,22662,21892,21892,21892,17455,17455,17455
POS_B,ERCC_00112.1,POS_B(32),Positive,SYSTEM,0,,15268,15268,15268,13663,13663,15268,13663,9478,13663,9478,9478,9478,9809,9809,9809,9601,9601,9809,9129,9601,9601,9129,9129,9129,6011,6011,6011
POS_C,ERCC_00002.1,POS_C(8),Positive,SYSTEM,0,,4201,4201,4201,3463,3463,4201,3463,2431,3463,2431,2431,2431,2489,2489,2489,2318,2318,2489,2235,2318,2318,2235,2235,2235,1371,1371,1371
POS_D,ERCC_00092.1,POS_D(2),Positive,SYSTEM,0,,968,968,968,817,817,968,817,593,817,593,593,593,643,643,643,651,651,643,566,651,651,566,566,566,397,397,397
POS_E,ERCC_00035.1,POS_E(0.5),Positive,SYSTEM,0,,174,174,174,141,141,174,141,109,141,109,109,109,91,91,91,111,111,91,116,111,111,116,116,116,70,70,70
POS_F,ERCC_00034.1,POS_F(0.125),Positive,SYSTEM,0,,109,109,109,77,77,109,77,52,77,52,52,52,55,55,55,59,59,55,56,59,59,56,56,56,28,28,28
